月份,CB數量,平均CB價格,格式
1140930,338,118.74,新
1140829,346,120.17,新
1140731,337,114.98,新
1140630,338,114.39,新
1140529,326,114.56,新
1140430,320,113.25,新
1140331,328,117.65,新
1140307,329,122.3,新
1140227,331,123.77,新
11401,328,122.09,舊
11312,329,123.86,舊
11311,326,125.38,舊
11310,316,131.99,舊
11309,311,136.79,舊
11308,308,140.92,舊
11307,298,143.72,舊
11306,297,143.04,舊
11305,295,139.3,舊
11304,286,136.45,舊
11303,292,132.93,舊
11302,292,132.66,舊
11301,300,126.3,舊
11212,294,126.94,舊
11211,299,126.49,舊
11210,294,127.65,舊
11209,299,129.22,舊
11208,308,129.17,舊
11207,304,131.17,舊
11206,307,129.98,舊
11205,297,128.25,舊
11204,290,126.5,舊
11203,286,124.57,舊
11202,283,121.71,舊
11201,286,117.43,舊
11112,288,115.2,舊
11111,291,114.26,舊
11110,293,111.6,舊
11109,291,114.8,舊
11108,288,118.6,舊
11107,285,116.17,舊
11106,282,116.73,舊
11105,277,120.22,舊
11104,270,122.12,舊
11103,266,124.38,舊
11102,272,126.93,舊
11101,274,125.68,舊
11012,266,130.14,舊
11011,265,127.91,舊
11010,261,123.77,舊
11009,254,124.64,舊
11008,244,127.45,舊
11007,241,132.37,舊
11006,237,132.59,舊
11005,237,125.62,舊
11004,229,131.34,舊
11003,230,127.35,舊
11002,228,125.29,舊
11001,230,120.63,舊
10912,223,121.36,舊
10911,209,119.99,舊
10910,210,116.69,舊
10909,201,116.7,舊
10908,196,121.51,舊
10907,196,120.97,舊
10906,194,117.43,舊
10905,204,114.84,舊
10904,204,111.26,舊
10903,202,108.82,舊
10902,203,114.36,舊
10901,200,115.54,舊
10812,196,117.17,舊
10811,191,116.27,舊
10810,186,117.04,舊
10809,181,116.09,舊
10808,180,116.35,舊
10807,179,116.46,舊
10806,178,114.57,舊
10805,174,113.79,舊
10804,175,114.91,舊
10803,181,116.31,舊
10802,182,115.07,舊
10801,181,114.59,舊
10712,185,112.03,舊
10711,188,112.34,舊
10710,194,112.51,舊
10709,202,119.2,舊
10708,200,123.06,舊
10707,206,128.64,舊
10706,210,128.84,舊
10705,207,127.95,舊
10704,202,126.98,舊
10703,205,127.65,舊
10702,207,128.87,舊
10701,209,131.05,舊
10612,220,129.35,舊
10611,235,128.79,舊
10610,237,126.99,舊
10609,248,126.43,舊
10608,248,124.53,舊
10607,261,123.74,舊
10606,270,122.8,舊
10605,263,123.06,舊
10604,267,122.4,舊
10603,274,121.29,舊
10602,288,119.58,舊
10601,290,117.2,舊
10512,290,117.57,舊
10511,294,117.42,舊
10510,295,118.52,舊
10509,300,119.7,舊
10508,306,120.2,舊
10507,306,120.96,舊
10506,307,119.79,舊
10505,311,120.33,舊
10504,312,120.63,舊
10503,313,122.65,舊
10502,310,121.17,舊
10501,318,119.87,舊
10412,324,121.09,舊
10411,330,121.54,舊
10410,326,119.61,舊
10409,320,116.32,舊
10408,321,112.85,舊
10407,320,116.82,舊
10406,322,122.24,舊
10405,320,123.08,舊
10404,312,124.36,舊
10403,311,123.61,舊
10402,311,123.23,舊
10401,299,123.66,舊
10312,294,124.08,舊
10311,294,122.75,舊
10310,294,124.88,舊
10309,291,131.51,舊
10308,290,130.72,舊
10307,288,135.2,舊
10306,288,135.09,舊
10305,288,132.97,舊
10304,291,131.57,舊
10303,291,133.9,舊
10302,290,131.99,舊
10301,285,126.03,舊
10212,293,123.44,舊
10211,298,121.86,舊
10210,296,122.19,舊
10209,294,119.46,舊
10208,301,116.78,舊
10207,302,117.05,舊
10206,305,115.01,舊
10205,303,116.78,舊
10204,301,115.75,舊
10203,309,114.37,舊
10202,309,113.21,舊
10201,315,112.1,舊
10112,313,111.15,舊
10111,315,110.06,舊
10110,323,110.14,舊
10109,329,112.66,舊
10108,331,112.13,舊
10107,324,110.59,舊
10106,321,110.91,舊
10105,308,111.15,舊
10104,302,112.07,舊
10103,302,114.1,舊
10102,293,113.19,舊
10101,296,109.11,舊
10012,297,107.24,舊
10011,301,108.21,舊
10010,305,110.16,舊
10009,306,110.16,舊
10008,304,114.14,舊
10007,299,118.62,舊
10006,293,119.02,舊
10005,285,121.06,舊
10004,274,126.93,舊
10003,272,126.65,舊
10002,267,130.09,舊
10001,264,130.17,舊
9912,242,130.44,舊
9911,242,127.94,舊
9910,236,128.72,舊
9909,240,130.76,舊
9908,236,128.13,舊
9907,232,129.69,舊
9906,229,126.85,舊
9905,221,128.55,舊
9904,214,134.53,舊
9903,213,132.86,舊
9902,214,124.98,舊
9901,214,130.95,舊
9812,206,133.5,舊
